Pt1,Pt2,Pt3,F1,F2,F3,Error,EEF
0,11,124,[11.456114689904709],[0.49892522885899554],[3.009772024967833],13.804988416968113,[-3.38449156 19.45241493 -2.27320569]
4,49,63,[0.9227643723226259],[23.459844749608983],[24.268684453733016],4.437729863729737,[  5.50850828 -10.24782548  -8.89214618]
4,49,124,[24.985105267427077],[44.99198379110833],[69.97708406048734],2.147659422438117e-05,[  1.83634431 -11.6259376  -10.06129026]
4,49,134,[27.446161350757286],[0.0],[23.858782707193537],5.4695409985003005,[ -6.5077396  -12.52531122 -10.92923749]
4,49,140,[17.658860489553074],[0.0],[11.208206763793259],13.948563236527427,[ -7.85561129 -12.46770867 -10.81139729]
5,92,104,[5.089333887521488],[0.08142185833034049],[2.095377065620606],17.270550918514747,[ -7.7596895  -18.02034322  -4.65012106]
6,86,126,[2.316420376454166],[6.283342355981181],[3.1421465225988428],15.353454141290193,[-4.15581942 17.16339618 -0.69250786]
6,135,141,[15.708565522566733],[8.24087416023316],[2.9024057767278477],4.906589129187095,[ 2.04456513 15.82606253  2.27856497]
9,40,86,[2.152893242731625e-12],[2.895980729526692],[2.1126236729188617],18.16274158725793,[ 7.07960077 14.9551378   9.59399622]
13,125,175,[3.985448906611503e-15],[1.024285151760775],[1.5095552308943023],19.144128491848566,[  8.91401008 -14.04992462  -8.65862985]
14,70,192,[0.0],[0.0],[5.728096315619115],17.891038944806287,[-8.86347096 18.15684025  1.052784  ]
20,72,160,[2.8027369137522675],[2.8049484727981144],[0.0],18.155092536192527,[ -8.67248435  -4.04823915 -12.98960238]
20,72,166,[2.8028164948387175],[2.8050224037838283],[0.0],18.155092504977357,[ -9.89530799   3.44307318 -14.80118517]
20,73,190,[1.1248153162263177],[1.1439578996556183],[1.6023776190769816e-14],19.19503357563936,[ -3.37070449   3.5554491  -16.22838029]
20,80,159,[3.1437294608991104],[3.7412270409917037],[1.3883715069756992],17.424361478517515,[-13.33410839  -9.41741284  -4.80161597]
20,80,190,[1.8530462623868849],[3.400685644555367],[0.0],18.06787753383651,[-17.40847685  -3.33676251  -6.41659344]
27,47,58,[0.4808973029983284],[4.758520946139607],[3.6550224931302084],16.79911283683972,[-9.39400187 -9.580307    9.30500432]
27,60,99,[0.0],[1.0848875417965858],[0.0],19.61661503186993,[ -0.27018691  10.91464294 -14.57887287]
27,75,99,[0.0],[4.044378272315314],[0.8573937611595452],18.53037872883534,[ -0.47031212   7.98519678 -17.70589971]
27,76,158,[0.0],[1.781794790823603],[0.0],19.384122195923233,[-15.18133698  -3.05393541  -4.31939139]
27,77,176,[2.2091422244996415e-15],[2.3798644446594017],[1.3709695004619573],19.1498077886089,[ -8.5852013   -0.39315244 -17.66924315]
27,176,197,[0.0],[1.9598314562604024],[1.6658540047524264],19.408201278896183,[ -6.73390153   7.10715265 -14.58182048]
28,45,82,[2.842345492419357e-14],[0.7231305493863835],[0.5021659022686822],19.587144183489322,[-1.6538149   5.90017141 15.33475278]
28,50,84,[3.921125745023268e-14],[2.5535550818110027],[2.9520957504979655],18.088412439537915,[11.66147563  1.0677141  13.0874527 ]
29,55,82,[4.761050664556864e-13],[6.426425366150718],[2.921143353384862],16.40556902994126,[12.41508582 -6.65013761  9.48638764]
31,87,105,[1.5667578648064149],[9.813479635275],[0.0],15.513547410162914,[ -5.15872791 -16.40310504  -0.32699766]
31,105,134,[0.36551141322470415],[8.812672141993601e-14],[2.9294406648494995],18.811385830379482,[ -6.86573134 -16.34658386  -0.35611252]
31,132,175,[43.95294399876246],[69.98659280340169],[26.033642540975507],1.8962144906879575e-05,[  1.77498654 -11.85467854  14.20531089]
35,187,193,[0.5303936352398305],[0.0],[1.3386669061569532],19.813343866752056,[-18.48341669  -8.25573777  -0.14827192]
36,86,126,[1.101045644370099],[5.70209678570155],[4.482948669094093],15.556202321295045,[ 6.87202439 19.43054723 -0.78526486]
37,87,104,[1.5135013442294016],[9.606470662129816],[2.582189655866171e-12],15.630703576370028,[ -4.07600046 -16.66603231   3.03467624]
37,88,141,[0.7035428772000369],[0.7249548768027106],[0.06053588240054144],19.47188932869912,[ 9.12844713 15.71555036  6.66103903]
40,88,141,[2.0235994273537043],[0.8757193714964134],[0.0],18.958351312344433,[ 7.40066255 15.97545723  6.65374969]
42,64,109,[16.45639625562923],[13.535187822616544],[1.3200885521719494e-13],3.4855282148027977,[-6.46967274 16.79805281 12.01020017]
42,65,109,[59.45389716443093],[67.44787757450352],[7.9939691050732895],2.7388858921216536e-05,[-3.81688361 16.78824618 11.98682293]
42,87,109,[15.195830852192499],[69.97669561443865],[54.780866378341216],1.4817973150199252e-05,[ 2.80471718 15.48787898 11.02496567]
42,92,125,[2.1952814885352243],[1.9905254216892964e-15],[4.973925881256001],18.141942528876942,[ 9.81426571 13.95353346 -9.51080189]
42,109,132,[29.61226035625333],[40.365785673042524],[69.97804855899585],1.3425199415948092e-05,[ 0.94320749 16.09090476 11.38193793]
44,74,98,[2.5897088779785116],[5.043725944510655],[0.0],17.267739254515636,[  7.47282361   1.96921724 -18.34979453]
44,74,176,[2.5895936335185703],[5.0438103187478145],[0.0],17.267739219306844,[  6.73000602  -3.03779882 -17.03165804]
45,82,166,[0.7231792263612026],[0.5020737251481927],[5.822407570129934e-16],19.58714411270167,[  0.96142257  -6.64785117 -19.36296437]
46,51,162,[1.3457061884487445],[0.9176900537940821],[2.3922782026417964],19.191322177515637,[16.72138039  6.90593682  0.85469934]
46,51,166,[1.0005994346676497],[0.3280013710534812],[5.116109965764152e-14],19.52942427504938,[16.70829572  3.59552122  0.75762259]
47,60,94,[3.944660697081576],[2.3992610417620934],[1.7364873032495414],17.640315675292914,[15.60011065  7.77620316 -9.46960278]
50,84,100,[2.553611517261585],[2.952171998991717],[0.0],18.088412499078505,[-13.55249154   6.16902202 -15.63666158]
51,59,97,[0.7125521006038633],[0.8570328788393288],[4.0409092132958496e-15],19.44275348038617,[ -0.75791308  10.64297765 -15.39145818]
51,59,161,[0.7131320288314701],[0.8580814562322097],[6.611100649224122e-15],19.44275362216672,[ -0.93127164   2.44307309 -15.84464514]
51,59,165,[0.7125064214458645],[0.8575020884167939],[1.5293848699948518e-15],19.44275321707875,[ -0.83064595   6.51239016 -16.02892798]
53,158,184,[1.999248920959853],[1.083837491570714],[0.0],19.302557618171043,[-0.56020089  2.20350419 21.45741562]
55,82,98,[6.42602942773868],[2.9209502180192928],[5.991505590034063e-15],16.405569012218375,[-13.3166448    3.50495292 -13.82933782]
55,82,159,[6.4246377153413965],[2.920182108096681],[1.4646333498768478e-13],16.40556925572056,[ -9.94581609  -7.63990533 -10.749149  ]
56,94,188,[8.95461758891813],[0.072248040823902],[3.042481950913462e-14],16.572100768799938,[ 8.92808575  0.13243138 16.42966043]
56,187,193,[8.94740748670828],[0.0],[0.0],16.57555320368263,[-18.32962266  -1.45462402  -0.10189182]
58,81,177,[2.3542400247811104],[1.7525461481999371],[2.6744296333607975],18.50694400405753,[-16.52337928   9.18628022   0.04003347]
60,71,165,[1.2251668900332546],[0.33824157631333335],[1.9626804602545978e-14],19.445524867263124,[-14.37910346   4.71053064  -7.84174374]
60,80,162,[2.995814794387594],[3.3381535431558174],[0.0],17.654337643653214,[-17.22593667  -1.2989455    3.4267569 ]
60,80,163,[2.995842046872759],[3.338202609063756],[0.0],17.65433761903758,[-15.93642609  -4.28074378   3.27080496]
68,107,128,[32.60867245881734],[69.97370984598093],[37.36504461787958],1.4901091443780416e-05,[  0.34714128 -15.15143551 -10.10399798]
68,128,175,[0.0],[22.94469032748989],[17.097758249123],6.9255539014444265,[  6.07865992 -15.61546322 -10.48374424]
68,128,192,[14.578565258196745],[55.0818284685922],[69.66040601447305],1.8956366154626468e-05,[  2.52890133 -15.54097451 -10.28145164]
69,106,130,[38.78113283521036],[69.94167559109503],[31.159912149691724],0.001387702608226601,[ -0.61616119 -12.80051598 -14.20227227]
78,94,188,[3.0969917134587623],[0.47826426429524566],[0.0],18.885455232391575,[ 8.13946373  4.40448379 14.90858882]
80,176,194,[5.148719367547596],[1.282248631505753e-12],[3.9341456289200427],16.518329655647783,[17.31253859 -2.90066399  1.94654575]
85,107,128,[48.26089870801147],[69.9784361816621],[21.71752259469308],1.9087998146963048e-05,[ -1.01181705 -17.20895658  -6.99989752]
90,104,179,[18.732026339251018],[0.0],[20.09178027962787],1.4050858490045444,[ -5.35266312 -16.13836436 -13.20812742]
103,139,196,[69.55546873933827],[31.3524599966076],[38.203024234794974],2.07494063450177e-05,[  4.33432751   3.32227927 -19.34916737]
104,139,196,[69.45198030082801],[27.9879532018075],[41.46403035886914],2.5301749965742432e-05,[  7.37929813   3.35981718 -19.2660785 ]
