Pt1,Pt2,Pt3,F1,F2,F3,Error,EEF
6,67,148,[3.02035571504589],[13.529833996956265],[7.565336904774112],13.126536399890334,[ 12.41618484  -8.26920658 -13.11753975]
10,68,91,[-0.11096331399800992],[8.948268136441172],[-0.22328833197685596],26.427425387301078,[  2.06042036  12.47608876 -12.96069905]
22,47,70,[26.31660394883942],[0.7680957189732723],[24.36386640072934],5.904047285803778,[-16.60791693   1.60391564  -7.43219518]
30,86,135,[1.1446543567958727],[1.2298976167015334],[3.315614128601249],12.79158703158239,[ 6.47452549 17.00903715 10.09332121]
31,120,142,[1.5911712275190142],[0.8268441741626998],[0.5352472890074964],22.122647961205097,[ 3.7113217  16.66755195  9.0046366 ]
39,50,139,[-7.261255137107923e-05],[21.730336004500032],[29.329177342482673],15.038841678913476,[ -5.89493192 -14.19717624  11.7344716 ]
39,91,140,[1.4941879943179606],[-1.2558413833692703],[14.970367446771851],23.95952758265127,[ -8.38730593 -15.15763187   9.08083937]
39,130,180,[3.2264263417409706],[15.785067409785569],[-0.6653530216086735],31.234160535111563,[  9.01786883 -12.53625306  11.37627996]
51,159,188,[6.218409014801452],[3.8219275926875076],[3.493993799848187],9.034296715625405,[-4.83891347 19.19040594  0.05235058]
74,100,196,[18.05624068166574],[-0.3646855656045621],[10.502150414079141],24.77637713904215,[  2.55567848 -12.43691684  11.85696927]
108,150,184,[2.4344755970977205],[7.619456960056412],[5.4586222196689645e-06],22.634648114590625,[ 15.56380626  -2.21509446 -13.24978995]
111,156,189,[0.0019109369653820649],[20.424906203352243],[27.709510770082073],20.553547153132406,[17.99738302 -5.22137533 -4.33216773]
